NO_OF_FRAMES	1907
NO_OF_CAMERAS	13
NO_OF_MARKERS	64
FREQUENCY	100.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-05-26, 15:19:12.927	1308305.30152838
DATA_INCLUDED	3D
MARKER_NAMES	ARIEL	LFHD	RFHD	C7	T5	T10	BWT	FWT	CLAV	STRN	LBSH	LSHO	LFUPA	LBUPA	LIEL	LELB	LOWR	LIWR	RSHO	RBSH	RFUPA	RBUPA	RFSH	RIEL	RELB	RFRM	ROWR	RIWR	LFWT	RFWT	LBWT	RBWT	LFTHI	LBTHI	LKNE	LKNI	LSHN	LANK	LHEL	LTOE	LMT1	LMT5	RFTHI	RBTHI	RKNE	RKNI	RSHN	RANK	RHEL	RTOE	RMT1	RMT5	RTHMB	RINDX	RPNKY	LTHMB	LINDX	LPNKY	LFRM	LFSH	RBHD	LBHD	RPLM	LPLM
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	SMPTE	ARIEL X	ARIEL Y	ARIEL Z	LFHD X	LFHD Y	LFHD Z	RFHD X	RFHD Y	RFHD Z	C7 X	C7 Y	C7 Z	T5 X	T5 Y	T5 Z	T10 X	T10 Y	T10 Z	BWT X	BWT Y	BWT Z	FWT X	FWT Y	FWT Z	CLAV X	CLAV Y	CLAV Z	STRN X	STRN Y	STRN Z	LBSH X	LBSH Y	LBSH Z	LSHO X	LSHO Y	LSHO Z	LFUPA X	LFUPA Y	LFUPA Z	LBUPA X	LBUPA Y	LBUPA Z	LIEL X	LIEL Y	LIEL Z	LELB X	LELB Y	LELB Z	LOWR X	LOWR Y	LOWR Z	LIWR X	LIWR Y	LIWR Z	RSHO X	RSHO Y	RSHO Z	RBSH X	RBSH Y	RBSH Z	RFUPA X	RFUPA Y	RFUPA Z	RBUPA X	RBUPA Y	RBUPA Z	RFSH X	RFSH Y	RFSH Z	RIEL X	RIEL Y	RIEL Z	RELB X	RELB Y	RELB Z	RFRM X	RFRM Y	RFRM Z	ROWR X	ROWR Y	ROWR Z	RIWR X	RIWR Y	RIWR Z	LFWT X	LFWT Y	LFWT Z	RFWT X	RFWT Y	RFWT Z	LBWT X	LBWT Y	LBWT Z	RBWT X	RBWT Y	RBWT Z	LFTHI X	LFTHI Y	LFTHI Z	LBTHI X	LBTHI Y	LBTHI Z	LKNE X	LKNE Y	LKNE Z	LKNI X	LKNI Y	LKNI Z	LSHN X	LSHN Y	LSHN Z	LANK X	LANK Y	LANK Z	LHEL X	LHEL Y	LHEL Z	LTOE X	LTOE Y	LTOE Z	LMT1 X	LMT1 Y	LMT1 Z	LMT5 X	LMT5 Y	LMT5 Z	RFTHI X	RFTHI Y	RFTHI Z	RBTHI X	RBTHI Y	RBTHI Z	RKNE X	RKNE Y	RKNE Z	RKNI X	RKNI Y	RKNI Z	RSHN X	RSHN Y	RSHN Z	RANK X	RANK Y	RANK Z	RHEL X	RHEL Y	RHEL Z	RTOE X	RTOE Y	RTOE Z	RMT1 X	RMT1 Y	RMT1 Z	RMT5 X	RMT5 Y	RMT5 Z	RTHMB X	RTHMB Y	RTHMB Z	RINDX X	RINDX Y	RINDX Z	RPNKY X	RPNKY Y	RPNKY Z	LTHMB X	LTHMB Y	LTHMB Z	LINDX X	LINDX Y	LINDX Z	LPNKY X	LPNKY Y	LPNKY Z	LFRM X	LFRM Y	LFRM Z	LFSH X	LFSH Y	LFSH Z	RBHD X	RBHD Y	RBHD Z	LBHD X	LBHD Y	LBHD Z	RPLM X	RPLM Y	RPLM Z	LPLM X	LPLM Y	LPLM Z	
31	0.30000	05:53:32:23	-197.839	1482.826	-1283.387	-248.288	1337.614	-1318.489	-123.333	1355.107	-1306.314	-205.048	1351.795	-964.150	-204.489	1236.884	-768.787	-185.284	1068.897	-653.269	-178.509	930.364	-583.653	-135.109	876.874	-867.273	-147.947	945.623	-927.419	-162.776	1063.442	-997.741	-293.958	1265.412	-841.031	-375.993	1266.448	-1018.776	-392.810	1075.501	-1023.266	-403.913	1109.843	-898.006	-435.507	899.902	-996.138	-472.068	935.618	-930.611	-460.830	707.796	-940.086	-391.633	722.974	-997.900	-17.921	1310.620	-1000.518	-126.657	1311.814	-827.877	20.973	1128.122	-999.751	39.382	1148.797	-871.731	-82.540	1172.434	-1034.813	108.304	962.448	-980.381	135.473	989.652	-904.823	59.829	969.069	-862.665	164.187	776.226	-954.053	102.274	792.100	-1017.537	-260.479	902.363	-844.705	-18.863	939.381	-794.012	-300.119	909.518	-638.999	-66.529	965.952	-593.896	-286.883	762.355	-893.371	-321.992	815.166	-719.307	-273.614	424.617	-969.806	-177.373	430.199	-971.770	-243.218	269.217	-933.781	-223.613	49.292	-796.036	-175.560	17.848	-745.616	-207.958	0.991	-982.405	-217.441	15.231	-946.589	-260.349	3.945	-902.468	54.181	743.294	-860.275	21.651	839.560	-648.168	92.045	494.645	-933.607	-8.811	476.016	-959.708	80.686	302.335	-887.384	80.375	91.450	-721.499	18.460	59.559	-691.332	123.315	7.702	-905.619	102.875	26.110	-884.599	141.014	24.906	-824.073	85.404	667.695	-1060.082	185.517	605.993	-1071.420	209.642	636.901	-1014.946	-348.534	606.851	-1005.588	-408.465	530.237	-981.155	-444.148	566.828	-932.109	-420.897	933.984	-876.772	-259.910	1145.155	-1054.263	-138.976	1432.799	-1152.419	-280.255	1419.427	-1176.031	189.858	697.271	-1011.170	-454.938	608.580	-954.809
32	0.31000	05:53:32:23	-197.185	1491.125	-1277.529	-247.837	1346.014	-1313.029	-123.081	1363.440	-1300.924	-204.406	1358.171	-958.120	-203.404	1240.803	-764.112	-183.898	1071.671	-650.739	-177.176	933.254	-582.032	-134.658	880.729	-866.018	-147.738	950.906	-924.829	-162.524	1069.996	-994.712	-292.969	1270.517	-835.586	-375.798	1273.537	-1012.796	-393.354	1082.501	-1017.705	-403.311	1116.822	-892.227	-436.501	906.893	-989.929	-472.148	942.928	-923.884	-461.969	715.015	-932.767	-393.256	729.597	-991.301	-17.179	1317.099	-994.914	-125.829	1316.423	-822.376	22.284	1134.239	-994.014	39.418	1155.021	-865.934	-82.275	1179.210	-1030.764	109.723	968.443	-973.285	134.488	995.535	-898.928	60.310	975.913	-855.707	165.828	782.399	-943.724	104.723	797.472	-1008.275	-259.978	905.959	-842.933	-18.176	942.428	-792.783	-299.005	912.774	-637.105	-65.023	968.414	-592.457	-286.098	764.625	-891.029	-320.938	818.359	-717.224	-273.059	426.406	-964.857	-176.668	431.631	-966.517	-243.115	270.844	-930.450	-223.841	49.335	-795.384	-175.843	17.617	-745.353	-207.833	1.133	-982.177	-217.434	15.289	-946.371	-260.350	3.890	-902.308	53.910	741.742	-856.925	22.146	841.988	-646.829	90.065	491.618	-925.450	-11.089	472.895	-950.229	78.756	300.724	-874.990	80.036	93.218	-704.856	18.408	61.767	-673.261	119.845	7.444	-888.370	99.616	25.964	-867.350	138.741	25.228	-807.407	88.088	672.326	-1049.000	187.990	609.867	-1057.703	210.985	641.148	-1001.067	-350.669	613.429	-999.154	-410.322	537.198	-973.376	-445.385	574.009	-924.105	-420.868	941.124	-870.146	-259.960	1152.169	-1050.480	-138.448	1440.635	-1146.709	-279.589	1427.440	-1170.574	191.968	702.443	-998.934	-456.453	615.709	-946.970
33	0.32000	05:53:32:23	-196.715	1499.191	-1271.653	-247.454	1354.294	-1307.567	-122.426	1371.624	-1295.391	-203.661	1364.301	-952.104	-202.274	1244.539	-759.462	-182.601	1074.558	-648.181	-175.917	936.154	-580.336	-133.536	884.952	-864.955	-147.182	956.198	-921.651	-162.340	1076.500	-991.756	-292.021	1275.569	-830.169	-375.353	1280.467	-1006.907	-393.765	1089.421	-1012.161	-402.587	1123.598	-886.496	-437.386	912.937	-983.518	-472.422	950.265	-917.407	-463.041	722.177	-925.435	-394.843	736.078	-984.633	-16.447	1323.417	-989.414	-124.864	1320.786	-816.956	26.207	1140.838	-988.788	39.755	1161.173	-860.347	-81.925	1185.904	-1026.800	111.584	974.206	-965.949	135.184	1001.753	-892.276	60.923	982.672	-848.844	167.408	788.472	-933.454	106.930	803.313	-999.824	-259.395	909.412	-841.110	-17.281	946.139	-792.394	-297.777	915.889	-635.191	-63.871	971.015	-591.176	-285.320	766.776	-888.668	-319.927	821.608	-715.189	-272.575	428.087	-959.936	-176.531	433.381	-961.172	-243.099	272.496	-927.308	-224.063	49.360	-794.722	-176.191	17.338	-745.114	-207.760	1.279	-981.948	-217.428	15.385	-946.162	-260.380	3.861	-902.167	53.793	740.136	-853.218	22.614	844.354	-645.223	88.025	488.739	-916.991	-13.058	469.649	-940.904	77.039	298.867	-862.708	79.868	94.631	-688.866	18.607	63.598	-655.970	116.399	7.112	-872.017	96.566	25.775	-850.859	136.774	25.625	-791.264	90.721	676.851	-1037.940	190.154	613.751	-1044.323	212.488	645.781	-987.462	-352.868	620.006	-992.711	-411.945	543.986	-965.650	-446.379	581.009	-916.216	-420.720	948.184	-863.953	-259.772	1159.180	-1046.299	-137.897	1448.276	-1140.989	-278.960	1435.214	-1164.883	194.036	707.686	-987.042	-457.838	622.706	-939.161
34	0.33000	05:53:32:23	-196.093	1507.085	-1265.750	-246.858	1362.300	-1302.121	-122.019	1379.549	-1289.887	-202.835	1370.337	-946.036	-200.975	1248.134	-754.864	-181.163	1077.366	-645.644	-174.369	938.891	-578.687	-133.290	888.404	-863.691	-146.175	962.727	-922.401	-162.031	1082.725	-988.723	-290.798	1280.131	-824.948	-374.841	1287.240	-1000.959	-393.942	1096.238	-1006.698	-401.713	1130.212	-880.750	-438.181	919.338	-977.171	-472.417	957.261	-910.886	-464.060	729.227	-918.119	-396.326	742.636	-978.083	-15.477	1329.612	-983.916	-123.733	1325.000	-811.519	27.706	1146.946	-983.463	39.964	1167.188	-854.888	-81.405	1192.542	-1022.766	113.365	979.782	-958.463	136.183	1008.355	-885.012	61.633	989.442	-841.994	168.422	794.304	-923.447	109.107	808.260	-990.615	-258.748	912.739	-839.262	-16.205	949.200	-791.080	-296.566	918.923	-633.210	-61.950	973.222	-589.581	-284.534	768.879	-886.311	-318.837	824.742	-713.113	-272.017	429.781	-954.958	-176.316	434.852	-955.176	-242.973	274.124	-924.049	-224.315	49.429	-794.107	-176.465	17.128	-744.878	-207.648	1.402	-981.718	-217.430	15.483	-945.965	-260.372	3.826	-902.076	53.587	738.512	-849.358	23.057	846.600	-643.636	86.325	485.976	-908.249	-14.999	466.916	-930.552	75.410	297.284	-850.593	79.665	95.637	-673.630	18.892	65.157	-639.467	113.015	6.807	-856.421	93.664	25.530	-835.196	134.779	25.522	-776.259	93.253	681.204	-1026.906	192.234	617.853	-1030.592	213.951	650.472	-974.143	-354.875	626.388	-985.996	-413.511	550.671	-957.960	-447.220	587.880	-908.153	-420.474	955.172	-857.807	-259.472	1166.167	-1042.066	-137.274	1455.772	-1135.257	-278.550	1443.006	-1159.018	195.993	712.999	-975.205	-459.120	629.560	-931.380
35	0.34000	05:53:32:24	-195.291	1514.721	-1259.893	-246.288	1370.037	-1296.606	-121.389	1387.203	-1284.376	-201.895	1376.169	-939.930	-199.784	1251.468	-750.468	-179.829	1080.044	-643.010	-172.891	941.670	-577.109	-132.541	891.768	-861.759	-146.481	966.901	-921.112	-161.742	1088.864	-985.783	-289.741	1284.815	-819.293	-374.373	1293.888	-994.905	-394.320	1102.824	-1000.887	-400.771	1136.777	-875.088	-440.308	925.794	-971.193	-472.332	964.141	-904.404	-464.897	735.998	-910.868	-397.686	749.115	-971.461	-14.566	1335.670	-978.445	-122.575	1329.023	-806.137	29.373	1152.936	-978.341	40.297	1173.185	-849.501	-80.829	1199.063	-1018.875	114.956	985.240	-951.343	137.210	1014.649	-878.078	62.354	996.037	-835.230	169.835	800.342	-913.282	111.014	813.334	-981.407	-263.207	917.366	-836.085	-15.042	952.071	-789.713	-295.256	921.947	-631.238	-60.314	975.503	-588.135	-283.757	770.970	-883.802	-317.733	827.732	-710.954	-271.521	431.428	-949.969	-174.973	436.174	-952.469	-242.858	275.710	-920.775	-224.505	49.459	-793.524	-176.773	16.896	-744.638	-207.528	1.522	-981.529	-217.364	15.541	-945.824	-260.356	3.795	-901.970	53.439	737.168	-845.372	23.582	848.783	-641.846	84.715	483.336	-899.160	-16.603	464.112	-920.929	74.160	295.722	-838.488	79.585	96.362	-659.093	19.128	66.475	-623.607	109.943	6.285	-841.541	90.947	25.203	-820.177	132.938	25.275	-761.866	95.502	685.429	-1015.190	193.739	621.397	-1017.049	215.217	655.254	-961.136	-356.443	632.406	-978.849	-415.033	557.160	-950.330	-447.981	594.574	-900.384	-420.108	961.871	-851.664	-259.226	1173.009	-1037.688	-136.601	1463.042	-1129.542	-277.733	1450.355	-1153.544	197.766	718.092	-963.610	-460.558	636.367	-923.338
36	0.35000	05:53:32:24	-194.594	1522.016	-1254.127	-245.687	1377.487	-1291.084	-120.609	1394.602	-1278.828	-200.920	1381.823	-933.782	-198.368	1254.891	-745.681	-178.140	1082.471	-640.512	-171.231	944.246	-575.424	-132.091	895.480	-860.386	-146.342	971.670	-919.486	-161.320	1094.907	-982.797	-288.253	1289.596	-813.254	-373.836	1300.500	-989.265	-394.435	1109.293	-995.263	-399.783	1143.178	-869.387	-442.665	933.440	-964.860	-472.215	970.873	-897.906	-465.536	742.691	-903.626	-398.935	755.434	-964.854	-13.472	1341.432	-973.004	-121.235	1332.843	-800.730	30.823	1158.185	-973.223	40.823	1179.087	-844.206	-80.319	1205.407	-1014.870	116.361	990.485	-944.248	138.079	1020.763	-871.102	63.112	1002.545	-828.523	171.310	806.300	-902.872	112.928	818.263	-972.154	-262.841	920.407	-833.944	-14.074	954.597	-788.390	-293.973	924.810	-629.270	-58.706	977.757	-586.590	-282.881	772.807	-881.327	-316.534	830.526	-708.727	-270.880	432.870	-944.959	-174.573	437.931	-948.496	-242.628	277.231	-917.465	-224.641	49.444	-792.939	-177.057	16.702	-744.431	-207.419	1.632	-981.329	-216.640	15.407	-945.943	-260.310	3.748	-901.904	52.349	735.673	-841.975	24.093	851.030	-639.862	83.221	480.924	-889.915	-18.166	461.647	-910.797	72.745	294.092	-826.717	79.429	96.837	-645.103	19.260	67.424	-608.670	107.353	5.895	-827.193	88.623	24.933	-805.819	131.158	24.919	-748.028	97.541	689.348	-1003.710	194.756	624.969	-1003.317	216.572	659.815	-948.316	-358.377	638.719	-973.421	-416.458	563.478	-942.745	-448.733	601.139	-892.742	-419.488	968.544	-845.667	-258.750	1179.629	-1033.284	-135.897	1470.144	-1123.862	-277.066	1457.563	-1147.866	199.568	723.138	-952.262	-461.952	643.088	-915.272
37	0.36000	05:53:32:24	-193.899	1529.107	-1248.474	-244.984	1384.619	-1285.547	-120.026	1401.653	-1273.279	-199.822	1387.249	-927.594	-196.745	1258.037	-741.009	-176.549	1084.839	-637.992	-169.867	946.814	-573.597	-131.381	898.748	-858.821	-145.735	976.421	-917.652	-160.826	1100.889	-979.901	-286.816	1293.931	-807.701	-373.062	1306.850	-983.276	-396.575	1116.425	-989.561	-398.736	1149.349	-863.603	-443.362	940.025	-958.550	-471.895	977.458	-891.436	-466.162	749.270	-896.383	-400.076	761.505	-958.273	-12.398	1347.105	-967.572	-119.858	1336.478	-795.296	32.082	1163.311	-968.273	41.620	1184.833	-838.891	-79.777	1211.581	-1010.828	117.626	995.596	-937.261	139.411	1027.052	-863.571	63.160	1008.723	-823.306	172.791	812.059	-893.139	119.233	824.988	-963.669	-262.073	923.309	-831.935	-13.645	956.361	-787.190	-292.625	927.570	-627.194	-57.525	979.929	-584.627	-281.645	774.523	-879.378	-315.264	833.227	-706.466	-270.376	434.399	-939.931	-174.216	438.817	-942.402	-242.547	278.780	-914.101	-224.764	49.479	-792.382	-177.474	16.558	-744.113	-207.280	1.766	-981.161	-217.171	15.702	-945.558	-260.255	3.734	-901.826	52.596	734.422	-837.689	24.735	853.172	-637.917	81.962	478.545	-880.391	-19.603	459.481	-900.533	71.505	292.687	-815.117	79.128	97.076	-631.971	19.095	68.056	-594.499	105.155	5.583	-813.432	86.711	24.874	-792.158	129.575	24.531	-734.753	99.228	693.042	-992.108	195.305	628.214	-989.517	217.462	664.039	-935.726	-359.939	644.621	-966.950	-417.662	569.602	-935.169	-449.353	607.468	-885.230	-418.916	975.069	-839.562	-258.223	1186.113	-1028.822	-135.117	1477.000	-1118.263	-276.437	1464.577	-1142.004	201.218	727.949	-941.123	-462.952	649.563	-907.563
38	0.37000	05:53:32:24	-193.040	1535.798	-1242.819	-244.180	1391.387	-1279.942	-119.266	1408.320	-1267.823	-198.656	1392.587	-921.399	-195.135	1261.012	-736.362	-174.819	1086.983	-635.500	-168.152	949.172	-571.795	-130.889	901.501	-857.542	-145.160	981.132	-915.740	-160.216	1106.714	-976.967	-285.256	1298.075	-802.146	-372.167	1313.024	-977.023	-402.425	1124.643	-982.185	-397.647	1155.354	-857.809	-443.583	946.273	-952.201	-471.488	983.811	-885.065	-466.717	755.643	-889.279	-400.844	767.410	-951.703	-11.278	1352.520	-962.156	-118.355	1339.976	-789.884	33.456	1169.166	-963.464	42.601	1190.390	-833.598	-79.163	1217.514	-1007.021	118.903	1000.498	-930.344	140.370	1032.788	-856.899	63.853	1014.710	-816.875	174.237	817.650	-883.743	120.669	829.649	-954.486	-261.257	926.074	-829.960	-12.751	958.584	-785.795	-291.217	930.107	-625.099	-55.936	981.931	-582.911	-280.929	776.136	-876.552	-313.917	835.815	-704.179	-269.948	435.797	-934.888	-173.560	440.159	-937.303	-242.099	279.897	-910.689	-224.802	49.473	-791.755	-177.503	16.195	-743.721	-207.164	1.846	-980.963	-217.180	15.765	-945.383	-260.217	3.718	-901.762	52.836	733.213	-833.444	25.455	855.227	-635.931	80.752	476.483	-870.810	-20.680	457.474	-890.161	70.171	291.331	-803.735	78.581	97.195	-619.147	18.816	68.454	-581.033	102.891	5.492	-800.813	84.954	24.872	-779.133	128.153	24.283	-721.978	100.767	696.656	-980.552	195.336	631.245	-975.646	218.188	668.312	-923.235	-361.495	650.317	-960.330	-418.765	575.644	-927.661	-449.851	613.660	-877.790	-418.359	981.299	-833.390	-258.208	1193.105	-1026.831	-134.241	1483.631	-1112.656	-275.332	1471.193	-1136.475	202.509	732.491	-929.487	-463.726	655.819	-900.051
39	0.38000	05:53:33:00	-192.077	1542.229	-1237.114	-243.461	1397.846	-1274.273	-118.309	1414.753	-1262.233	-197.277	1397.610	-915.273	-193.374	1263.940	-731.753	-173.050	1089.043	-632.943	-166.684	951.459	-569.915	-130.050	904.131	-855.123	-144.581	985.699	-913.864	-159.657	1112.252	-973.959	-283.611	1302.083	-796.552	-371.158	1318.982	-970.687	-403.460	1131.150	-975.997	-396.544	1161.228	-851.965	-443.649	952.270	-945.917	-471.064	989.986	-878.666	-466.936	761.800	-882.260	-401.367	773.123	-945.049	-10.018	1357.741	-956.737	-116.723	1343.287	-784.495	34.938	1173.973	-958.510	44.061	1195.708	-828.367	-78.304	1223.399	-1002.915	120.072	1005.099	-923.545	141.263	1038.127	-850.218	64.617	1020.401	-810.487	175.695	822.947	-874.617	122.391	833.947	-945.644	-256.478	927.679	-829.653	-11.514	960.840	-784.227	-289.806	932.631	-622.948	-54.620	984.039	-581.216	-280.517	777.765	-873.150	-312.686	838.367	-701.857	-269.406	437.127	-929.750	-173.110	441.382	-932.542	-241.999	281.468	-907.265	-224.836	49.459	-791.172	-177.608	15.902	-743.508	-207.145	2.007	-980.747	-217.183	15.849	-945.194	-260.222	3.716	-901.675	53.291	732.108	-829.171	26.263	857.305	-633.776	79.690	474.582	-861.152	-21.741	455.775	-879.851	69.030	290.051	-792.556	78.104	97.231	-606.862	18.451	68.518	-568.227	100.952	5.540	-788.555	83.171	24.956	-766.662	126.726	24.085	-709.854	102.045	700.175	-968.792	194.913	634.026	-961.800	218.753	672.128	-910.909	-362.879	655.745	-953.711	-419.615	581.394	-920.169	-450.434	619.709	-870.435	-417.382	987.408	-828.070	-257.258	1198.961	-1021.496	-133.328	1489.998	-1107.036	-274.403	1477.572	-1130.795	203.955	736.817	-918.805	-464.409	661.894	-892.619
40	0.39000	05:53:33:00	-191.320	1548.398	-1231.353	-242.674	1404.025	-1268.557	-117.576	1420.961	-1256.642	-195.820	1402.462	-909.155	-191.659	1266.677	-727.059	-171.254	1091.108	-630.351	-165.408	953.603	-568.083	-129.079	907.625	-853.959	-144.054	990.682	-913.066	-158.958	1117.665	-970.825	-281.891	1305.971	-790.859	-370.106	1324.768	-964.369	-403.166	1137.117	-970.016	-395.284	1166.847	-846.083	-443.456	958.082	-939.653	-470.420	995.998	-872.366	-467.219	767.814	-875.303	-401.987	778.753	-938.527	-8.678	1362.649	-951.306	-114.995	1346.446	-779.122	36.398	1178.777	-953.399	45.012	1200.721	-823.142	-77.517	1228.875	-998.866	121.254	1009.585	-916.735	141.664	1043.191	-844.168	65.416	1025.860	-804.143	177.013	827.672	-866.159	124.053	837.870	-936.899	-254.990	930.148	-828.010	-10.165	962.997	-782.565	-288.196	934.912	-620.576	-52.085	985.568	-579.562	-279.795	779.240	-869.855	-311.326	840.810	-699.502	-268.837	438.384	-924.613	-172.493	442.532	-927.505	-241.720	282.695	-903.805	-225.046	49.664	-790.541	-177.721	15.669	-743.333	-207.159	2.363	-980.539	-217.163	15.939	-945.004	-260.216	3.723	-901.598	54.832	731.208	-823.580	27.205	859.301	-631.585	78.788	472.958	-851.371	-22.093	454.412	-869.778	67.261	288.653	-782.289	77.421	96.911	-595.103	17.817	68.359	-556.054	99.198	5.774	-776.895	81.599	25.164	-754.900	125.325	23.932	-698.202	103.135	703.489	-956.972	194.216	636.574	-947.986	219.022	675.747	-898.770	-364.066	660.874	-946.832	-420.499	587.250	-912.723	-450.758	625.555	-863.195	-416.601	993.223	-821.479	-256.382	1204.959	-1016.570	-132.342	1496.068	-1101.337	-273.512	1483.716	-1125.019	205.196	740.791	-908.271	-465.012	667.870	-885.282
41	0.40000	05:53:33:00	-190.471	1554.371	-1225.553	-241.728	1409.961	-1262.828	-116.731	1426.931	-1251.051	-194.216	1407.127	-903.039	-189.792	1269.314	-722.419	-169.398	1093.069	-627.714	-163.543	955.551	-566.085	-128.124	910.521	-852.272	-143.152	994.973	-911.005	-158.051	1122.722	-967.440	-280.041	1309.642	-785.180	-368.972	1330.423	-958.030	-402.586	1142.836	-964.065	-393.842	1172.269	-840.114	-443.051	963.627	-933.439	-469.696	1001.782	-866.116	-467.274	773.624	-868.468	-402.121	784.016	-931.950	-7.184	1367.282	-945.856	-113.336	1349.541	-773.719	37.818	1183.354	-948.171	46.341	1205.334	-817.943	-76.458	1234.117	-994.649	122.402	1013.695	-910.268	142.603	1047.978	-837.980	66.277	1030.975	-797.924	178.406	832.750	-856.949	121.683	839.926	-927.639	-253.738	932.662	-826.044	-8.888	965.178	-780.534	-286.711	937.243	-618.517	-50.235	987.262	-577.728	-278.929	780.652	-866.728	-309.830	843.157	-697.139	-268.209	439.591	-919.454	-172.077	443.569	-922.682	-241.615	284.195	-900.305	-224.668	49.331	-790.248	-177.886	15.474	-743.135	-207.144	2.537	-980.293	-217.072	16.507	-944.920	-260.216	3.705	-901.487	54.809	730.306	-819.919	28.194	861.210	-629.328	78.090	471.408	-841.522	-22.729	453.255	-859.022	66.296	287.635	-771.632	76.597	96.565	-583.817	17.072	68.021	-544.520	97.538	6.027	-765.815	79.970	25.361	-743.693	123.867	23.665	-687.161	104.153	706.709	-945.537	193.257	639.069	-934.482	219.190	679.155	-886.745	-364.827	665.680	-939.976	-421.456	592.990	-905.144	-451.132	631.315	-855.997	-415.749	998.858	-815.412	-255.457	1210.747	-1011.633	-131.227	1501.859	-1095.686	-272.484	1489.506	-1119.213	206.250	744.473	-897.869	-465.395	673.570	-878.118
42	0.41000	05:53:33:00	-189.404	1560.032	-1219.702	-240.686	1415.756	-1257.139	-115.744	1432.515	-1245.425	-192.661	1411.595	-896.935	-187.922	1271.779	-717.761	-167.520	1094.905	-624.951	-161.946	957.527	-564.025	-127.027	913.201	-850.515	-142.021	998.800	-908.618	-157.211	1127.724	-964.126	-278.194	1313.185	-779.506	-367.701	1335.773	-951.572	-402.218	1148.400	-958.056	-392.347	1177.492	-834.100	-442.644	969.036	-927.192	-468.852	1007.333	-859.871	-467.223	779.162	-861.724	-402.388	789.245	-925.524	-5.573	1371.668	-940.404	-111.465	1352.465	-768.336	39.525	1187.343	-942.837	45.090	1209.250	-812.434	-75.577	1239.134	-990.471	123.627	1017.541	-903.826	143.560	1052.485	-831.751	67.283	1035.777	-791.686	179.610	837.229	-848.194	126.206	844.544	-919.609	-252.502	935.084	-823.956	-7.783	966.992	-778.967	-285.161	939.421	-616.005	-48.434	988.853	-575.757	-277.893	782.329	-865.590	-308.304	845.344	-694.746	-267.499	440.728	-914.364	-171.400	444.694	-917.718	-241.503	285.575	-896.665	-224.762	49.360	-789.682	-178.057	15.270	-742.947	-207.177	2.680	-980.052	-217.066	16.633	-944.714	-260.253	3.674	-901.397	55.591	729.491	-815.270	29.234	863.130	-627.003	77.607	470.149	-831.591	-22.904	452.122	-849.039	65.373	286.693	-761.157	75.594	95.927	-572.978	16.197	67.481	-533.556	96.002	6.465	-755.101	78.462	25.515	-733.057	122.407	23.280	-676.711	105.181	709.754	-934.580	192.545	641.537	-921.313	219.203	682.366	-874.916	-365.622	670.531	-933.164	-422.108	598.366	-897.752	-451.442	636.825	-848.848	-414.740	1004.266	-809.415	-254.377	1216.180	-1006.577	-130.095	1507.455	-1089.969	-271.344	1495.049	-1113.366	207.348	747.573	-887.645	-465.672	679.139	-871.010
